id,title,publisher,month_published,year_published,top_sell_category,price_USD,genre,age_rating_PEGI,languages_interface,languages_spoken,recommended_graphics,user_ratings_positive,user_ratings_negative,user_ratings_total,user_ratings_pct
1599340,Lost Ark,Amazon Game Studios,02,2022,Platinum,0,Action|Adventure|Massively Multiplayer|RPG|Free To Play,18,English|Spanish - Spain,English|Spanish - Spain,Nvidia Geforce GTX 1660 Super|AMD Radeon RX 6600,108155,41295,149450,0.72
1245620,ELDEN RING,"FromSoftware, Inc.",02,2022,Platinum,60,Action|RPG,16,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Thai|Traditional Chinese|Arabic,English,NVIDIA GEFORCE GTX 1070|AMD RADEON RX VEGA 56,261763,44045,305808,0.86
1142710,Total War: WARHAMMER III,SEGA,02,2022,Platinum,60,Action|Strategy,16,English|French|Italian|German|Spanish - Spain|Czech|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Turkish,English,Nvidia GeForce GTX 1660 Ti|AMD Radeon RX 5600 XT|Intel Arc A750,17070,10952,28022,0.61
1332010,Stray,Annapurna Interactive,07,2022,Platinum,30,Adventure|Indie,12,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Traditional Chinese|Turkish|Dutch|Portuguese - Portugal,NA,NVIDIA GeForce GTX 780|AMD Radeon R9 290X,68523,1783,70306,0.97
534380,Dying Light 2 Stay Human: Reloaded Edition,Techland,02,2022,Platinum,60,Action|Adventure|RPG,18,English|French|Italian|German|Spanish - Spain|Korean|Polish|Portuguese - Brazil|Russian|Spanish - Latin America|Arabic|Czech|Japanese|Portuguese - Portugal|Simplified Chinese|Traditional Chinese|Turkish,English|French|German|Spanish - Spain|Polish|Portuguese - Brazil|Russian|Spanish - Latin America|Japanese|Simplified Chinese,NVIDIA GeForce RTX 2060|AMD Radeon RX Vega 56,54306,14325,68631,0.79
920210,LEGO® Star Wars™: The Skywalker Saga,Warner Bros. Games,04,2022,Platinum,50,Action|Adventure,7,English|French|Italian|German|Spanish - Spain|Arabic|Danish|Dutch|Korean|Polish|Portuguese - Brazil|Russian|Spanish - Latin America|Traditional Chinese|Japanese,English|French|Italian|German|Spanish - Spain|Polish|Portuguese - Brazil|Spanish - Latin America|Japanese,Nvidia GeForce GTX 780|AMD Radeon R9 290,19579,1479,21058,0.93
1449850,Yu-Gi-Oh! Master Duel,KONAMI,01,2022,Platinum,0,Simulation|Strategy|Free To Play,7,English|French|Italian|German|Spanish - Latin America|Portuguese - Brazil|Japanese|Korean|Simplified Chinese|Traditional Chinese,NA,NVIDIA GeForce RTX 3060,24478,7311,31789,0.77
1446780,MONSTER HUNTER RISE,"CAPCOM Co., Ltd.",01,2022,Platinum,40,Action,12,English|French|Italian|German|Spanish - Spain|Arabic|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Spanish - Latin America,English|Japanese,NVIDIA GeForce GTX 1060|AMD Radeon RX 570,13369,2101,15470,0.86
1361210,"Warhammer 40,000: Darktide",Fatshark,11,2022,Platinum,40,Action|Adventure|RPG,18,English|French|Italian|German|Spanish - Spain|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Japanese|Korean|Traditional Chinese,English,NVIDIA GeForce RTX 3060|AMD Radeon RX 5700 XT,29104,18217,47321,0.62
1811260,EA SPORTS™ FIFA 23,Electronic Arts,09,2022,Platinum,NA,Simulation|Sports,3,English|French|Italian|German|Spanish - Spain|Arabic|Czech|Danish|Dutch|Japanese|Korean|Norwegian|Polish|Portuguese - Portugal|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Swedish|Traditional Chinese|Turkish,English|French|Italian|German|Spanish - Spain|Arabic|Dutch|Japanese|Polish|Portuguese - Brazil|Russian|Simplified Chinese,NVIDIA GeForce GTX 1660|AMD Radeon RX 5600 XT,7585,10988,18573,0.41
1938090,Call of Duty®,Activision,10,2022,Platinum,70,Action,18,English|French|Italian|German|Spanish - Spain|Korean|Polish|Russian|Traditional Chinese|Japanese|Spanish - Latin America|Arabic|Simplified Chinese|Portuguese - Brazil,English|French|Italian|German|Spanish - Spain|Japanese|Spanish - Latin America|Simplified Chinese|Portuguese - Brazil,AMD Radeon RX 6600 XT|NVIDIA GeForce RTX 3060|Intel Arc B580,81848,49892,131740,0.62
1604030,V Rising,Stunlock Studios,05,2022,Platinum,35,Action|Adventure|Massively Multiplayer,12,English|French|German|Spanish - Spain|Portuguese - Brazil|Simplified Chinese|Italian|Hungarian|Japanese|Korean|Polish|Russian|Turkish|Traditional Chinese|Thai|Ukrainian,English,NVIDIA GeForce GTX 1070|AMD Radeon RX 590,11565,1766,13331,0.87
1286680,Tiny Tina's Wonderlands,2K,06,2022,Gold,60,Action|Adventure|RPG,16,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Portuguese - Brazil|Russian|Simplified Chinese|Thai|Traditional Chinese,English|French|German|Spanish - Spain|Japanese|Korean|Simplified Chinese,AMD Radeon RX 590|NVIDIA GeForce GTX 1060,2121,670,2791,0.76
975370,Dwarf Fortress,Kitfox Games,12,2022,Gold,30,Indie|Simulation|Strategy,NA,English,NA,NA,16624,775,17399,0.96
